num-keys,overlap,overlap-pct,latency-ms
1,1,100,78.29
1,1,100,40.19
1,1,100,35.17
1,1,100,33.08
1,1,100,29.31
1,1,100,32.14
1,1,100,34.92
1,1,100,31.64
1,1,100,30.43
1,1,100,35.02
1,1,100,35.56
1,1,100,31.15
1,1,100,29.13
1,1,100,33.27
1,1,100,39.28
1,1,100,33.41
1,1,100,32.18
1,1,100,37.14
1,1,100,31.56
1,1,100,35.14
1,1,100,32.35
1,1,100,32.23
1,1,100,65.26
1,1,100,32.01
1,1,100,32.38
1,1,100,39.69
1,1,100,262.96
1,1,100,36.56
1,1,100,156.38
1,1,100,172.93
1,1,100,100.93
1,1,100,2155.44
1,1,100,2485.39
1,1,100,31.58
1,1,100,299.81
1,1,100,33.49
1,1,100,591.59
1,1,100,75.63
1,1,100,83.02
1,1,100,331.80
1,1,100,32.11
1,1,100,312.92
1,1,100,36.81
1,1,100,566.48
1,1,100,96.03
1,1,100,98.51
1,1,100,88.73
1,1,100,385.66
1,1,100,125.12
1,1,100,183.33
1,1,100,350.59
1,1,100,33.11
1,1,100,95.01
1,1,100,558.10
1,1,100,30.87
1,1,100,181.69
1,1,100,191.33
1,1,100,296.34
1,1,100,94.29
1,1,100,181.65
1,1,100,103.30
1,1,100,312.14
1,1,100,36.52
1,1,100,313.90
1,1,100,29.93
1,1,100,536.11
1,1,100,34.77
1,1,100,329.22
1,1,100,180.00
1,1,100,34.31
1,1,100,296.14
1,1,100,96.47
1,1,100,326.24
1,1,100,89.61
1,1,100,87.44
1,1,100,315.03
1,1,100,60.60
1,1,100,535.14
1,1,100,29.32
1,1,100,183.20
1,1,100,35.47
1,1,100,536.88
1,1,100,36.80
1,1,100,169.12
1,1,100,85.67
1,1,100,564.87
1,1,100,95.61
1,1,100,31.49
1,1,100,189.76
1,1,100,338.76
1,1,100,33.28
1,1,100,312.80
1,1,100,200.53
1,1,100,85.62
1,1,100,314.72
1,1,100,40.65
1,1,100,327.60
1,1,100,49.37
1,1,100,308.15
1,1,100,38.94
1,1,100,572.73
1,1,100,93.68
1,1,100,32.13
1,1,100,99.09
1,1,100,343.82
1,1,100,327.85
1,1,100,294.40
1,1,100,38.55
1,1,100,130.81
1,1,100,46.48
1,1,100,293.14
1,1,100,84.47
1,1,100,304.54
1,1,100,153.06
1,1,100,523.50
1,1,100,31.40
1,1,100,179.49
1,1,100,180.15
1,1,100,303.30
1,1,100,28.82
1,1,100,162.54
1,1,100,163.20
1,1,100,171.57
1,1,100,33150.10
1,1,100,33288.05
1,1,100,31211.85
1,1,100,32089.27
2,1,50,398.60
2,1,50,473.69
2,1,50,524.66
2,1,50,579.62
2,1,50,633.03
2,1,50,286.04
2,1,50,259.40
2,1,50,261.43
2,1,50,257.53
2,1,50,256.46
2,1,50,254.71
2,1,50,256.15
2,1,50,259.56
2,1,50,263.02
2,1,50,266.17
2,1,50,268.82
2,1,50,274.36
2,1,50,271.78
2,1,50,269.75
2,1,50,286.18
2,1,50,285.10
2,1,50,278.29
2,1,50,279.26
2,1,50,280.82
2,1,50,267.22
2,1,50,266.62
2,1,50,270.28
2,1,50,272.45
2,1,50,270.57
2,1,50,258.17
2,1,50,256.01
2,1,50,252.27
2,1,50,247.02
2,1,50,247.27
2,1,50,252.69
2,1,50,252.12
2,1,50,253.18
2,1,50,254.93
2,1,50,251.83
2,1,50,253.24
2,1,50,262.77
2,1,50,267.65
2,1,50,279.85
2,1,50,287.89
2,1,50,288.00
2,1,50,283.68
2,1,50,282.04
2,1,50,265.38
2,1,50,260.66
2,1,50,265.52
2,1,50,271.22
2,1,50,279.46
2,1,50,290.07
2,1,50,308.97
2,1,50,302.40
2,1,50,294.73
2,1,50,279.37
2,1,50,273.31
2,1,50,251.84
2,1,50,271.89
2,1,50,271.87
2,1,50,280.44
2,1,50,280.18
2,1,50,285.00
2,1,50,262.40
2,1,50,265.98
2,1,50,267.50
2,1,50,262.94
2,1,50,263.88
2,1,50,267.67
2,1,50,264.41
2,1,50,277.47
2,1,50,281.87
2,1,50,278.57
2,1,50,504.85
2,1,50,505.74
2,1,50,489.89
2,1,50,529.13
2,1,50,595.19
2,1,50,368.30
2,1,50,640.95
2,1,50,2040.37
2,1,50,2169.15
2,1,50,2132.95
2,1,50,1969.58
2,1,50,572.46
2,1,50,1987.40
2,1,50,2145.83
2,1,50,2779.16
2,1,50,5054.97
2,1,50,647.73
2,1,50,374.89
2,1,50,205.20
2,1,50,1315.91
2,1,50,3260.08
2,1,50,580.14
2,1,50,584.94
2,1,50,585.13
2,1,50,414.74
2,1,50,307.53
2,1,50,306.43
2,1,50,295.09
2,1,50,304.22
2,1,50,305.91
2,1,50,410.44
2,1,50,420.07
2,1,50,429.28
2,1,50,424.99
2,1,50,464.76
2,1,50,350.32
2,1,50,376.48
2,1,50,419.04
2,1,50,567.39
2,1,50,712.42
2,1,50,1956.26
2,1,50,4369.83
2,1,50,4173.48
2,1,50,4046.17
2,1,50,3361.48
2,1,50,5731.58
2,1,50,673.25
2,1,50,1850.64
2,1,50,1842.06
2,1,50,669.66
2,1,50,664.53
2,1,50,404.47
2,1,50,2275.26
2,1,50,365.86
2,1,50,354.76
2,1,50,356.94
2,1,50,345.56
2,1,50,260.64
2,1,50,270.82
2,1,50,269.20
2,1,50,268.28
2,1,50,313.47
2,1,50,312.57
2,1,50,304.71
2,1,50,322.51
2,1,50,324.49
2,1,50,318.87
2,1,50,320.68
2,1,50,336.23
2,1,50,321.95
2,1,50,329.97
2,1,50,296.68
2,1,50,314.01
2,1,50,306.02
2,1,50,312.37
2,1,50,349.05
2,1,50,350.52
2,1,50,347.28
2,1,50,479.43
2,1,50,483.84
2,1,50,446.79
2,2,100,1020.98
2,2,100,1194.15
2,2,100,1893.01
2,2,100,1128.21
2,2,100,2585.26
2,2,100,4595.40
2,2,100,4829.90
2,2,100,3818.52
2,2,100,3963.79
2,2,100,1752.05
2,2,100,1786.40
2,2,100,335.42
2,2,100,3163.53
2,2,100,890.60
2,2,100,480.59
2,2,100,1602.84
2,2,100,609.00
2,2,100,618.45
2,2,100,1175.71
2,2,100,717.16
2,2,100,544.76
2,2,100,531.49
2,2,100,1830.92
2,2,100,3164.57
2,2,100,2885.54
2,2,100,3182.18
2,2,100,3971.79
2,2,100,2810.03
2,2,100,2888.61
2,2,100,1993.01
2,2,100,3273.18
2,2,100,1812.45
2,2,100,1216.55
2,2,100,166.58
2,2,100,3239.76
2,2,100,1510.38
2,2,100,1929.00
2,2,100,2594.30
2,2,100,4222.59
2,2,100,2702.60
2,2,100,2436.86
2,2,100,2349.38
2,2,100,1302.85
2,2,100,656.89
2,2,100,2025.61
2,2,100,465.78
2,2,100,1293.30
2,2,100,448.60
2,2,100,447.21
2,2,100,383.24
2,2,100,376.11
2,2,100,311.09
2,2,100,313.74
2,2,100,317.35
2,2,100,316.77
2,2,100,314.51
2,2,100,359.53
2,2,100,349.50
2,2,100,619.92
2,2,100,644.59
2,2,100,653.48
2,2,100,656.56
2,2,100,719.88
3,1,33,489.06
3,1,33,569.83
3,1,33,627.79
3,1,33,687.69
3,1,33,744.13
3,1,33,317.48
3,1,33,297.86
3,1,33,297.09
3,1,33,302.51
3,1,33,309.24
3,1,33,310.98
3,1,33,316.32
3,1,33,321.52
3,1,33,323.17
3,1,33,321.40
3,1,33,318.60
3,1,33,313.16
3,1,33,310.84
3,1,33,306.05
3,1,33,301.26
3,1,33,575.00
3,1,33,573.75
3,1,33,568.73
3,1,33,575.53
3,1,33,579.01
3,1,33,298.52
3,1,33,300.67
3,1,33,307.68
3,1,33,311.97
3,1,33,310.89
3,1,33,324.27
3,1,33,321.10
3,1,33,310.59
3,1,33,298.81
3,1,33,293.11
3,1,33,535.95
3,1,33,540.96
3,1,33,661.67
3,1,33,665.91
3,1,33,713.04
3,1,33,505.61
3,1,33,503.95
3,1,33,417.09
3,1,33,411.06
3,1,33,600.17
3,1,33,609.74
3,1,33,736.55
3,1,33,714.14
3,1,33,829.04
3,1,33,597.21
3,1,33,703.47
3,1,33,570.26
3,1,33,601.40
3,1,33,572.70
3,1,33,625.92
3,1,33,628.27
3,1,33,689.14
3,1,33,655.45
3,1,33,681.36
3,1,33,687.92
3,1,33,522.46
3,1,33,471.24
3,1,33,574.66
3,1,33,600.05
3,1,33,554.65
3,1,33,581.14
3,1,33,684.61
3,1,33,582.23
3,1,33,684.58
3,1,33,686.03
3,1,33,719.52
3,1,33,671.14
3,1,33,720.47
3,1,33,476.73
3,1,33,722.39
3,1,33,659.12
3,1,33,591.39
3,1,33,575.08
3,1,33,799.33
3,1,33,550.41
3,1,33,561.31
3,1,33,714.73
3,1,33,816.43
3,1,33,641.95
3,1,33,619.34
3,1,33,621.58
3,1,33,589.38
3,1,33,489.58
3,1,33,571.73
3,1,33,723.54
3,1,33,711.16
3,1,33,843.47
3,1,33,815.67
3,1,33,749.00
3,1,33,599.08
3,1,33,704.54
3,1,33,477.96
3,1,33,470.99
3,1,33,523.74
3,1,33,529.63
3,1,33,685.31
3,1,33,694.04
3,1,33,746.59
3,1,33,875.19
3,1,33,891.83
3,1,33,656.84
3,1,33,626.69
3,1,33,577.26
3,1,33,562.32
3,1,33,623.98
3,1,33,598.29
3,1,33,620.76
3,1,33,837.79
3,1,33,676.65
3,1,33,670.28
3,1,33,736.21
3,1,33,765.05
3,1,33,784.46
3,1,33,730.99
3,1,33,738.23
3,1,33,679.73
3,1,33,630.19
3,1,33,499.02
3,1,33,540.51
3,1,33,523.74
3,1,33,821.60
3,1,33,945.90
3,1,33,832.69
3,1,33,837.79
3,1,33,819.52
3,1,33,519.85
3,1,33,431.14
3,1,33,437.56
3,1,33,436.18
3,1,33,392.68
3,1,33,431.87
3,1,33,619.51
3,1,33,731.77
3,1,33,752.96
3,1,33,819.79
3,1,33,781.57
3,1,33,552.03
3,1,33,666.81
3,1,33,594.98
3,1,33,671.57
3,1,33,744.27
3,1,33,905.55
3,1,33,679.25
3,1,33,688.93
3,1,33,552.34
3,1,33,532.51
3,1,33,490.52
3,1,33,509.16
3,1,33,742.70
3,1,33,765.77
3,1,33,822.40
3,1,33,966.47
3,1,33,954.30
3,1,33,774.23
3,1,33,743.56
3,1,33,852.88
3,1,33,761.43
3,1,33,753.86
3,1,33,733.42
3,1,33,730.59
3,1,33,509.04
3,1,33,340.11
3,1,33,368.15
3,1,33,427.53
3,2,66,234.62
3,2,66,342.98
3,2,66,403.88
3,2,66,460.10
3,2,66,1183.35
3,2,66,903.38
3,2,66,903.57
3,2,66,903.91
3,2,66,1247.26
3,2,66,352.30
3,2,66,357.80
3,2,66,356.31
3,2,66,356.15
3,2,66,295.46
3,2,66,301.52
3,2,66,287.90
3,2,66,283.51
3,2,66,282.62
3,2,66,289.06
3,2,66,284.94
3,2,66,287.13
3,2,66,312.84
3,2,66,315.59
3,2,66,541.74
3,2,66,546.84
3,2,66,571.45
3,2,66,555.74
3,2,66,596.51
3,2,66,414.91
3,2,66,538.76
3,2,66,531.74
3,2,66,592.57
3,2,66,556.31
3,2,66,614.01
3,2,66,491.32
3,2,66,490.78
3,2,66,536.77
3,2,66,557.31
3,2,66,555.47
3,2,66,582.37
3,2,66,702.89
3,2,66,612.83
3,2,66,639.15
3,2,66,546.57
3,2,66,634.05
3,2,66,753.49
3,2,66,787.64
3,2,66,760.13
3,2,66,746.30
3,2,66,645.03
3,2,66,396.08
3,2,66,801.18
3,2,66,812.63
3,2,66,811.52
3,2,66,798.19
3,2,66,800.05
3,2,66,376.86
3,2,66,389.72
3,2,66,390.19
3,2,66,434.32
3,2,66,532.22
3,2,66,503.75
3,2,66,467.90
3,2,66,695.79
3,2,66,670.25
3,2,66,562.67
3,2,66,660.54
3,2,66,677.61
3,2,66,454.62
3,2,66,448.70
3,2,66,702.70
3,2,66,627.94
3,2,66,617.28
3,2,66,658.89
3,2,66,648.30
3,2,66,436.10
3,2,66,517.52
3,2,66,530.16
3,2,66,526.98
3,2,66,758.63
3,2,66,734.97
3,2,66,640.66
3,2,66,845.39
3,2,66,827.85
3,2,66,646.73
3,2,66,634.64
3,2,66,738.69
3,2,66,518.89
3,2,66,511.69
3,2,66,460.97
3,2,66,454.79
3,2,66,342.62
3,2,66,437.61
3,2,66,670.46
3,2,66,683.32
3,2,66,705.76
3,2,66,693.28
3,2,66,690.97
3,2,66,459.65
3,2,66,458.23
3,2,66,434.70
3,2,66,431.86
3,2,66,364.54
3,2,66,488.62
3,2,66,490.50
3,2,66,506.05
3,2,66,734.62
3,2,66,702.22
3,2,66,817.78
3,2,66,813.96
3,2,66,827.24
3,2,66,603.91
3,2,66,642.05
3,2,66,396.42
3,2,66,522.23
3,2,66,519.28
3,2,66,532.64
3,2,66,532.97
3,2,66,524.42
3,2,66,527.76
3,2,66,557.18
3,2,66,584.31
3,2,66,556.05
3,2,66,616.02
3,2,66,478.62
3,2,66,676.58
3,2,66,701.04
3,2,66,679.77
3,2,66,614.53
3,2,66,717.45
3,2,66,509.38
3,2,66,551.99
3,2,66,584.36
3,2,66,706.17
3,2,66,736.67
3,2,66,721.40
3,2,66,614.14
3,2,66,635.60
3,2,66,553.52
3,2,66,480.19
3,2,66,496.81
3,2,66,630.29
3,2,66,596.81
3,2,66,624.10
3,2,66,562.48
3,2,66,576.68
3,2,66,481.21
3,2,66,565.81
3,2,66,555.03
3,2,66,612.92
3,2,66,566.30
3,2,66,656.24
3,2,66,565.81
3,2,66,560.99
3,2,66,496.77
3,2,66,739.67
3,2,66,628.90
3,2,66,724.80
3,2,66,828.62
3,2,66,1085.24
3,2,66,849.43
3,2,66,856.08
3,2,66,748.12
3,2,66,595.97
3,2,66,344.10
3,2,66,336.03
3,2,66,423.13
3,2,66,533.82
3,2,66,567.35
3,2,66,562.04
3,2,66,638.48
3,2,66,528.66
3,2,66,422.74
3,2,66,500.69
3,2,66,645.40
3,3,100,165.57
3,3,100,288.76
3,3,100,352.07
3,3,100,410.65
3,3,100,307.22
3,3,100,595.28
3,3,100,365.95
3,3,100,361.81
3,3,100,366.82
3,3,100,364.81
3,3,100,299.68
3,3,100,334.10
3,3,100,361.84
3,3,100,354.83
3,3,100,464.62
3,3,100,534.52
3,3,100,560.44
3,3,100,613.85
3,3,100,710.76
3,3,100,610.95
3,3,100,540.23
3,3,100,480.29
3,3,100,397.72
3,3,100,348.59
3,3,100,342.41
3,3,100,388.06
3,3,100,499.39
3,3,100,729.34
3,3,100,765.26
3,3,100,777.34
3,3,100,780.39
3,3,100,680.73
3,3,100,452.83
3,3,100,380.75
3,3,100,367.73
3,3,100,323.38
3,3,100,317.13
3,3,100,569.13
3,3,100,583.01
3,3,100,682.02
3,3,100,694.11
3,3,100,686.72
3,3,100,472.09
3,3,100,467.22
3,3,100,401.14
3,3,100,403.16
3,3,100,518.06
3,3,100,499.74
3,3,100,480.63
3,3,100,524.79
