num-db,db,tx-type,count,duration-ms,tx-per-sec
20,13,strong-read,5856,61102.10,95.8396
20,13,weak-read,2928,61102.10,47.9198
20,13,write,976,61102.10,15.9733
20,14,strong-read,5874,61102.10,96.1342
20,14,weak-read,2937,61102.10,48.0671
20,14,write,979,61102.10,16.0224
20,15,strong-read,5922,61102.10,96.9197
20,15,weak-read,2961,61102.10,48.4599
20,15,write,987,61102.10,16.1533
20,16,strong-read,5892,61102.10,96.4288
20,16,weak-read,2946,61102.10,48.2144
20,16,write,982,61102.10,16.0715
20,17,strong-read,5940,61102.10,97.2143
20,17,weak-read,2970,61102.10,48.6072
20,17,write,990,61102.10,16.2024
20,18,strong-read,5964,61102.10,97.6071
20,18,weak-read,2982,61102.10,48.8036
20,18,write,994,61102.10,16.2679
20,19,strong-read,5946,61102.10,97.3125
20,19,weak-read,2973,61102.10,48.6563
20,19,write,991,61102.10,16.2188
25,0,strong-read,4944,61198.59,80.7862
25,0,weak-read,2472,61198.59,40.3931
25,0,write,824,61198.59,13.4644
25,1,strong-read,5004,61198.59,81.7666
25,1,weak-read,2502,61198.59,40.8833
25,1,write,834,61198.59,13.6278
25,2,strong-read,5052,61198.59,82.5509
25,2,weak-read,2526,61198.59,41.2755
25,2,write,842,61198.59,13.7585
25,3,strong-read,5010,61198.59,81.8646
25,3,weak-read,2505,61198.59,40.9323
25,3,write,835,61198.59,13.6441
25,4,strong-read,5010,61198.59,81.8646
25,4,weak-read,2505,61198.59,40.9323
25,4,write,835,61198.59,13.6441
25,5,strong-read,4992,61198.59,81.5705
25,5,weak-read,2496,61198.59,40.7853
25,5,write,832,61198.59,13.5951
25,6,strong-read,5070,61198.59,82.8450
25,6,weak-read,2535,61198.59,41.4225
25,6,write,845,61198.59,13.8075
25,7,strong-read,5070,61198.59,82.8450
25,7,weak-read,2535,61198.59,41.4225
25,7,write,845,61198.59,13.8075
25,8,strong-read,5046,61198.59,82.4529
25,8,weak-read,2523,61198.59,41.2264
25,8,write,841,61198.59,13.7421
25,9,strong-read,5016,61198.59,81.9627
25,9,weak-read,2508,61198.59,40.9813
25,9,write,836,61198.59,13.6604
25,10,strong-read,5004,61198.59,81.7666
25,10,weak-read,2502,61198.59,40.8833
25,10,write,834,61198.59,13.6278
25,11,strong-read,5058,61198.59,82.6490
25,11,weak-read,2529,61198.59,41.3245
25,11,write,843,61198.59,13.7748
25,12,strong-read,5028,61198.59,82.1588
25,12,weak-read,2514,61198.59,41.0794
25,12,write,838,61198.59,13.6931
25,13,strong-read,5052,61198.59,82.5509
25,13,weak-read,2526,61198.59,41.2755
25,13,write,842,61198.59,13.7585
25,14,strong-read,5076,61198.59,82.9431
25,14,weak-read,2538,61198.59,41.4715
25,14,write,846,61198.59,13.8238
